,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8587,0.8412,0.6923,0.5294,0.6,0.5982,0.9853
0_1,0.8041,0.8252,0.6667,0.381,0.4848,0.4945,0.9791
0_2,0.6338,0.7438,0.5,0.375,0.4286,0.4233,0.9803
0_3,0.8515,0.8387,0.6923,0.4286,0.5294,0.5356,0.9803
0_4,0.8156,0.8039,0.6154,0.5714,0.5926,0.5861,0.9865
0_5,0.9195,0.8777,0.7692,0.4762,0.5882,0.5974,0.9828
0_6,0.7058,0.7592,0.5385,0.3043,0.3889,0.3922,0.9729
0_7,0.673,0.7636,0.5385,0.4375,0.4828,0.4761,0.9815
0_8,0.8738,0.8399,0.6923,0.4737,0.5625,0.5644,0.9828
0_9,0.8849,0.8405,0.6923,0.5,0.5806,0.5806,0.984
0_Mean,0.8021,0.8134,0.6397,0.4477,0.5238,0.5248,0.9816
0_SD,0.0977,0.0441,0.0877,0.0796,0.0745,0.0748,0.0038
Mean,0.8021,0.8134,0.6398,0.4477,0.5238,0.5248,0.9816
SD,0.0977,0.0441,0.0877,0.0796,0.0745,0.0748,0.0038
